query,intent_category,answer_1,answer_2,answer_3,completeness_1,factuality_1,usefulness_1,completeness_2,factuality_2,usefulness_2,completeness_3,factuality_3,usefulness_3
Μεταδίδεται ο κορωνοϊός από τα κατοικίδια ζώα;,faq,Διάφοροι τύποι κοροναϊών μπορούν να μολύνουν τα ζώα και να μεταδοθούν σε άλλα ζώα και ανθρώπους.,"Αν και ορισμένοι τύποι κοροναϊών μπορούν να μολύνουν τα ζώα και να μεταδοθούν σε άλλα ζώα και ανθρώπους, ο νέος κορωνοϊός, SARS-CoV-2, δεν μεταδίδεται από τα κατοικίδια ζώα. Είναι εξαιρετικά απίθανο τα κατοικίδια ζώα να διαδραματίζουν κάποιο ρόλο στην εξάπλωση του ιού. Τα κατοικίδια ζώα, όπως τα σκυλιά και οι γάτες, μπορούν να μολυνθούν από τους ιδιοκτήτες τους, αλλά δεν είναι γνωστό ότι παίζουν κάποιο ρόλο στην εξάπλωση του ιού. Ο ρόλος των ζώων συντροφιάς και των εκτρεφόμενων ζώων στην επιδημιολογία και τη μετάδοση της νόσου COVID-19 είναι επί του παρόντος άγνωστος.","Αν και δεν είναι σίγουρο ότι τα κατοικίδια, όπως είναι οι γάτες και οι σκύλοι, μεταδίδουν τον κορωνοϊό, είναι σημαντική η τήρηση των κανόνων υγιεινής στα ζώα συντροφιάς.",1,5,1,4,5,4,4.0,5.0,4.0
εάν έρθω σε επαφή με επιβεβαιωμένο κρούσμα κορωνοιος τι πρέπει να κάνω,out_of_scope,απομονωθείτε,"Βεβαίως! Θα χαρώ πολύ να βοηθήσω. Παρακάτω είναι η απάντησή μου στην ερώτησή σας:  Πρώτα απ' όλα, είναι σημαντικό να σημειώσουμε ότι εάν έρθετε σε επαφή με επιβεβαιωμένο κρούσμα κορωνοϊού, θα πρέπει να ακολουθήσετε τις οδηγίες του Κέντρου Ελέγχου και Πρόληψης Νοσημάτων (CDC) και των τοπικών αρχών υγείας. Οι οδηγίες αυτές μπορεί να διαφέρουν ανάλογα με την περιοχή και τη σοβαρότητα του κρούσματος. Σε γενικές γραμμές, εάν έρθετε σε επαφή με επιβεβαιωμένο κρούσμα κορωνοϊού, θα πρέπει να ακολουθήσετε τα παρακάτω βήματα:  1. Παραμείνετε σε αυτοαπομόνωση για 14 ημέρες από την τελευταία επαφή με το κρούσμα.",,2,2,2,3,2,3,,,
Τα εμβόλια βοηθάνε στο να τελειώσει η πανδημία;,faq,Τα εμβόλια εκπαιδεύουν το ανοσοποιητικό μας σύστημα να δημιουργήσει πρωτεΐνες που καταπολεμούν την ασθένεια,"Τα εμβόλια δεν βοηθούν στο να τελειώσει η πανδημία, αλλά συμβάλλουν στη μείωση της επίπτωσης του ιού στον πληθυσμό. Η πανδημία COVID-19 θα τελειώσει τελικά όταν επιτευχθεί συλλογική ανοσία μέσω της φυσικής λοίμωξης ή των εμβολιασμών. Τα εμβόλια εκπαιδεύουν το ανοσοποιητικό σύστημα να δημιουργήσει αντισώματα κατά ενός συγκεκριμένου ιού, προστατεύοντας τα εμβολιασμένα άτομα από το να προσβληθούν από την ασθένεια και να μεταδώσουν το παθογόνο. Αυτό συμβάλλει στη μείωση του φορτίου του ιού στον πληθυσμό, αλλά δεν τελειώνει από μόνο του την πανδημία. Η πανδημία θα τελειώσει όταν επιτευχθεί συλλογική ανοσία, η οποία μπορεί να επιτευχθεί μέσω της φυσικής λοίμωξης ή του εμβολιασμού.","Ο εμβολιασμός μπορεί κατ’αρχάς να αποτρέψει τις δραματικές συνέπειες της πανδημίας, όπως τους θανάτους. Τα εμβόλια προστατεύουν από τη βαριά νόσηση και σε πολλές περιπτώσεις μπορούν να αποτρέψουν την ίδια τη λοίμωξη. Σύμφωνα με τον Παγκόσμιο Οργανισμό Υγείας, εάν μέχρι τα μέσα του 2022 έχει εμβολιαστεί το 70% του παγκόσμιου πληθυσμού τα οφέλη θα είναι πολλαπλά αλλά κυρίως θα περιοριστεί η εμφάνιση νέων μεταλλάξεων και η πανδημία θα οδηγηθεί στο τέλος της.",2,5,3,5,5,4,4.0,5.0,5.0
Κινδυνεύουν οι ηλικιωμένοι από επιπλοκές που σχετιίζονται από κορωνοϊό;,out_of_scope,"οι ηλικιωµένοι άνω των 80 ετών που θα νοσήσουν από τον ιό COVID-19 µπορεί να βρεθούν αντιµέτωποι µε πολύ σοβαρές και επικίνδυνες για την ζωή τους επιπλοκές, εφόσον νοσήσουν, ιδιαίτερα όταν έχουν υποκείµενα παθολογικά προβλήµατα, όπως καρδιολογικά, αναπνευστικά, σακχαρώδη διαβήτη, νεοπλασίες.","Ναι, οι ηλικιωμένοι διατρέχουν μεγαλύτερο κίνδυνο από επιπλοκές που σχετίζονται με τον κορωνοϊό. Σύμφωνα με τις παρεχόμενες πληροφορίες, οι ηλικιωμένοι άνω των 80 ετών που θα νοσήσουν από τον ιό COVID-19 μπορεί να βρεθούν αντιμέτωποι με πολύ σοβαρές και επικίνδυνες για την ζωή τους επιπλοκές, ιδιαίτερα όταν έχουν υποκείμενα παθολογικά προβλήματα. Αυτές οι επιπλοκές μπορεί να περιλαμβάνουν πνευμονία, σύνδρομο οξείας αναπνευστικής δυσχέρειας, θρομβοεμβολικά επεισόδια και το σύνδρομο μακρού COVID. Επιπλέον, οι ηλικιωμένοι διατρέχουν μεγαλύτερο κίνδυνο σοβαρών επιπλοκών από τον COVID-19 σε σύγκριση με νεότερους ανθρώπους, και ο κρύος καιρός και το χιόνι δεν μπορούν να σκοτώσουν τον νέο κορωνοϊό ή άλλες ασθένειες.",,4,5,4,5,5,5,,,
Μήπως συνέχεια θα φορέσουν μάσκες πάντα;,out_of_scope,"Εάν το COVID-19 κυκλοφορεί ευρέως και επηρεάζει το σύστημα υγείας, οι επισκέπτες, μαζί με τους εργαζόμενους στον τομέα της υγείας και της φροντίδας και τους φροντιστές, θα πρέπει να φορούν πάντα μια καλά προσαρμοσμένη ιατρική μάσκα σε όλους τους κοινόχρηστους χώρους και όταν φροντίζουν ασθενείς που δεν είναι ασθενείς με COVID-19,","Όχι, οι μάσκες δεν θα φορούνται συνέχεια. Οι μάσκες θα φορούνται μόνο από επισκέπτες, εργαζόμενους στον τομέα της υγείας και φροντίδας, και φροντιστές σε εγκαταστάσεις υγειονομικής περίθαλψης όταν το COVID-19 κυκλοφορεί ευρέως και επηρεάζει το σύστημα υγείας. Οι φροντιστές μπορεί να επιλέξουν να φορέσουν μια μάσκα σε ένα παιδί αν το παιδί έχει επαφή με ένα άτομο που διατρέχει υψηλό κίνδυνο να αναπτύξει σοβαρή ασθένεια ή αν βρίσκεται κοντά σε κάποιον που είναι άρρωστος. Τα παιδιά ηλικίας 5 ετών και κάτω δεν χρειάζεται να φορούν μάσκα.",,5,2,4,2,3,4,,,
Πού μένει για καραντίνα κάποιος μετά την άφιξή του στο αεροδρόμιο Αθηνών;,out_of_scope,"Εάν ταυτοποιηθείτε ως επαφή, θα πρέπει να προβείτε σε καραντίνα, πράγμα που σημαίνει ότι θα απομονωθείτε από τους άλλους στο νοικοκυριό σας","Με βάση τις πληροφορίες που παρέχονται, τα άτομα που φτάνουν στο αεροδρόμιο Αθηνών θα πρέπει να μένουν σε καραντίνα για 14 ημέρες από την τελευταία τους επαφή με επιβεβαιωμένο κρούσμα. Θα πρέπει να παραμένουν χωριστά από τους άλλους στο νοικοκυριό τους και να επικοινωνούν με τις τοπικές υγειονομικές αρχές για να μπουν με ασφάλεια σε καραντίνα. Εάν δεν μπορούν να βρίσκονται σε ξεχωριστό δωμάτιο, θα πρέπει να μένουν τουλάχιστον ένα μέτρο μακριά από τους άλλους. Θα πρέπει να έχουν αρκετή τροφή, νερό και έναν τρόπο επικοινωνίας με τους άλλους.",,3,3,3,4,3,3,,,
Ποια είναι η θεραπεία για τον κορωνοϊό;,faq,μέσω έγχυσης (σταγόνα).,"Η θεραπεία για τον νέο κορωνοϊό περιλαμβάνει διάφορα φάρμακα και υποστηρικτική φροντίδα. Η θεραπεία με μονοκλωνικό αντίσωμα, όπως η κασιριβιμάμπη και η ιμντεβιμάμπη, απαιτεί ιατρική επίβλεψη και συνήθως χορηγείται ενδοφλέβια ή υποδόρια. Επιπλέον, η κορτιζόνη και άλλοι ανοσοδιαμορφωτές, η ρεμδεσιβίρη και η υποστηρικτική φροντίδα, όπως η οξυγονοθεραπεία και η συμπλήρωση υγρών, μπορεί επίσης να συνταγογραφηθούν ανάλογα με τη σοβαρότητα της νόσου.","Η θεραπεία για τη νόσο εξαρτάται από τον κάθε ασθενή. Αν έχεις συμπτώματα επικοινώνησε με τον/την γιατρό σου, εγώ δεν μπορώ να σου δώσω τέτοιες πληροφορίες.",1,1,1,5,4,5,3.0,4.0,4.0
Μετά από πόσες χρήσεις να πετάω τη μάσκα;,faq,μία,"Μετά από κάθε χρήση, θα πρέπει να απορρίπτετε τη μάσκα και να την πλένετε με κοινό απορρυπαντικό και σε θερμοκρασία 60ο. Εάν η μάσκα είναι πολλαπλών χρήσεων, πλύνετε την το συντομότερο δυνατόν μετά από κάθε χρήση.","Την μάσκα μπορείς να την πλύνεις στο πλυντήριο στους 60 βαθμούς ή στο χέρι με  με απορρυπαντικό και καλό τρίψιμο σε βραστό νερό. Ιδανικά η μάσκα πρέπει να πλένεται μετά από κάθε χρήση, συνήθως υπάρχουν οδηγίες χρήσεις στη συσκευασία σχετικά με αυτό. Όσον αφορά την χειρουργική μάσκα, πρέπει να την πετάς μετά από κάθε χρήση (για τα υπόλοιπα είδη μάσκας αναγράφονται οδηγίες στη συσκευασία).",2,5,4,4,5,4,5.0,5.0,5.0
Τι σημαίνει να είναι κάποιος ανοσοκατεσταλμένος;,out_of_scope,Το RNA υποδηλώνει ότι ο ιός βρισκόταν στην κοινότητα τη στιγμή που απεκκρίθηκε.,"Το να είναι κάποιος ανοσοκατεσταλμένος σημαίνει ότι το ανοσοποιητικό του σύστημα είναι εξασθενημένο, καθιστώντας δύσκολη την αντιμετώπιση λοιμώξεων και ασθενειών. Μπορεί να προκληθεί από διάφορες ιατρικές παθήσεις, φάρμακα ή άλλες καταστάσεις. Σε αυτή την περίπτωση, η παρουσία αντισωμάτων υποδεικνύει ότι ένα άτομο έχει ανοσία έναντι μιας συγκεκριμένης λοίμωξης ή νόσου.",,1,2,1,5,5,5,,,
Ο εμβολιασμός μειώνει την πιθανότητα να εμφανίσω συμπτώματα του σύνδρομου Long Covid;,faq,4 εβδομάδες μετά τη λοίμωξη με SARS-COV-2,"Ο εμβολιασμός κατά της COVID-19 δεν μειώνει την πιθανότητα να εμφανίσετε συμπτώματα του συνδρόμου Long Covid. Τα εμβόλια COVID-19 έχουν σχεδιαστεί για να αποτρέψουν τη σοβαρή νόσο και το θάνατο που προκαλείται από τον COVID-19. Ενώ ο εμβολιασμός μπορεί να προσφέρει κάποια προστασία από το μακροχρόνιο COVID, δεν είναι μια λύση για να εξαλειφθεί πλήρως το μακροχρόνιο COVID.","Σύμφωνα με τον Υπουργό Υγείας, Αθανάσιο Πλεύρη, η καλύτερη προστασία απέναντι στο «σύνδρομο Long Covid» είναι ο εμβολιασμός. Ο εμβολιασμός κατά του κορονοϊού μειώνει έως 50% την πιθανότητα εμφάνισης συμπτωμάτων «Long Covid» και αποτελεί το καλύτερο και αποτελεσματικότερο μέσο θωράκισης της δημόσιας υγείας συνολικά.",1,2,1,5,3,4,4.0,4.0,4.0
Πως μπορώ να κλείσω ραντεβού για το εμβολιο,faq,μέσω της πλατφόρμας emvolio και μέσω των φαρμακείων,"Μπορείτε να κλείσετε ραντεβού για το εμβόλιο μέσω της πλατφόρμας emvolio ή των φαρμακείων. Επιπλέον, εάν έχετε ήδη προγραμματισμένο ραντεβού με το παλιό εμβόλιο, θα λάβετε ένα ενημερωτικό SMS για επαναπρογραμματισμό με το νέο εμβόλιο. Βεβαιωθείτε ότι δεν έχετε ιστορικό σοβαρών αλλεργικών αντιδράσεων ή αναφυλαξίας σε οποιοδήποτε από τα συστατικά των εμβολίων COVID-19 και δεν έχετε πυρετό άνω των 38 ºC την ημέρα του ραντεβού σας για το εμβόλιο.","Μπορείς να κλείσεις το ραντεβού για εμβολιασμό ηλεκτρονικά μέσω της ιστοσελίδας της κυβέρνησης https://emvolio.gov.gr/. Εάν έχεις εγγραφεί στην άυλη συνταγογράφηση θα σου έρθει μήνυμα με το ραντεβού σου. Διαφορετικά, μπορείς να απευθυνθείς σε οποιοδήποτε φαρμακείο ή ΚΕΠ.",4,5,4,4,4,5,4.0,5.0,4.0
Πότε ένα τεστ PCR είναι θετικό,out_of_scope,"οι επιβάτες των πτήσεων εξωτερικού πρέπει να έχουν αρνητικό PCR που να έχει διεξαχθεί μέχρι και 48 ώρες πριν, ενώ για όσους εισέρχονται από τα χερσαία σύνορα πρέπει να έχουν αρνητικό PCR που να έχει διεξαχθεί μέχρι 72 ώρες πριν","Ένα τεστ PCR είναι θετικό όταν ανιχνεύει την παρουσία γενετικού υλικού του ιού SARS-CoV-2 (που προκαλεί το COVID-19) στα εξεταζόμενα δείγματα. Σε αυτή την περίπτωση, τα δείγματα μπορούν να προέλθουν από λύματα, τα οποία είναι απόβλητα από εγκαταστάσεις επεξεργασίας λυμάτων, ή από ανθρώπους που εκτελούν αυτοδιαγνωστικά τεστ. Η παρουσία του ιού στα λύματα υποδεικνύει ότι η κοινότητα πιθανότατα απέκκρινε τον ιό μέσω των ούρων, των κοπράνων ή με βήχα ή φτέρνισμα. Από την άλλη, ένα θετικό τεστ σε ένα άτομο υποδηλώνει ότι το άτομο έχει μολυνθεί με το COVID-19.",,1,1,1,4,5,4,,,
ποσό αξιόπιστο είναι το rapid test;,out_of_scope,"Τα γρήγορα τεστ αντιγόνων είναι ταχύτερα, αλλά λιγότερο ακριβή από τα τεστ PCR.","Σύμφωνα με τις πληροφορίες που δόθηκαν, το rapid test δεν είναι τόσο αξιόπιστο όσο το τεστ PCR. Ωστόσο, τα τεστ αντιγόνου είναι ταχύτερα και μπορούν να πραγματοποιηθούν χωρίς υποστήριξη επαγγελματία υγείας από τις ηλικίες 14 και άνω. Τα τεστ αντιγόνου είναι διαφορετικά από τα τεστ PCR καθώς ανιχνεύουν ορισμένες πρωτεΐνες του ιού. Επιπλέον, τα τεστ αντιγόνου θα είναι διαθέσιμα σε όλους τους πολίτες μέσω των φαρμακείων και μπορούν να πραγματοποιούνται από τους ίδιους, ενώ τα τεστ PCR απαιτούν επίσκεψη σε δομή υγείας. Τα τεστ αντιγόνου έχουν υψηλό βαθμό ευαισθησίας και εγκυρότητας που προσεγγίζει το 95-99%. Αν κάποιος βρεθεί θετικός σε ένα τεστ αντιγόνου, πρέπει να ακολουθήσει το πρωτόκολλο του ΕΟΔΥ που προβλέπει δήλωση του θετικού κρούσματος και επανέλεγχο σε δομή υγείας.",,4,5,4,5,5,5,,,
κυκλοφορεί κανονικά το σπουτνικ εμβόλιο;,faq,Το εμβόλιο έχει λάβει άδεια έκτακτης ανάγκης από την Αμερικανική Υπηρεσία Τροφίμων και Φαρμάκων και μια υπό όρους άδεια κυκλοφορίας από τον Ευρωπαϊκό Οργανισμό Φαρμάκων.,"Το εμβόλιο του Σπούτνικ δεν κυκλοφορεί κανονικά. Είναι ένα εμβόλιο κατά του COVID-19 που έχει λάβει άδεια έκτακτης ανάγκης από την Αμερικανική Υπηρεσία Τροφίμων και Φαρμάκων και μια υπό όρους άδεια κυκλοφορίας από τον Ευρωπαϊκό Οργανισμό Φαρμάκων. Ωστόσο, το εμβόλιο δεν κυκλοφορεί ακόμα κανονικά και η διάθεσή του δεν έχει ξεκινήσει ακόμα.","Το Sputnik V είναι ένα ρωσικό εμβόλιο κατά του κορωνοϊού, το οποίο βρίσκεται ακόμα υπό αξιολόγηση από τους ευρωπαϊκούς οργανισμούς υγείας.",4,3,4,5,4,5,5.0,4.0,5.0
